"SYN.Flag.Count","Total.Fwd.Packets","Total.Backward.Packets","Flow.Duration","Flow.Packets.s","Flow.Bytes.s","Fwd.Packet.Length.Mean","Bwd.Packet.Length.Mean","Bwd.IAT.Mean","ACK.Flag.Count","Active.Mean","Label","Inbound"
0,2,2,25040,159.744408945687,8945.68690095847,42,70,2,0,0,"0",0
0,2,2,47213,84.7224281447906,4320.84383538432,43,59,3,0,0,"0",0
0,1,2,110,27272.7272727273,109090.909090909,0,6,3,0,0,"0",1
0,40,46,118548880,0.725439160623027,142.574101079656,100.55,280,2633509.77777778,1,639676.5,"0",0
0,1,2,147,20408.1632653061,122448.979591837,6,6,3,0,0,"0",1
0,2,8,7345102,1.36145148154512,0,0,0,1041447.14285714,1,0,"0",0
0,7,2,707372,12.7231499126344,1713.38418823476,173.142857142857,0,3,1,0,"0",0
0,2,2,21190,188.768286927796,29825.3893345918,34,282,3,0,0,"0",0
0,1,3,98,40816.3265306122,755102.040816327,0,24.6666666666667,1.5,0,0,"0",1
0,2,0,1,2e+06,8.19e+08,409.5,0,0,0,0,"0",1
0,2,0,3,666666.666666667,4e+06,6,0,0,0,0,"0",1
0,1,2,173,17341.0404624277,104046.242774566,6,6,2,0,0,"0",1
0,2,2,21258,188.164455734312,10254.96283752,36,73,3,0,0,"0",0
0,2,2,139924,28.5869471999085,1786.68419999428,34,91,2,0,0,"0",0
0,2,2,72625,55.0774526678141,1927.71084337349,27,43,3,0,0,"0",0
0,2,0,1,2e+06,0,0,0,0,0,0,"0",1
0,59,74,25960414,5.12318486138164,4433.90463649771,211.220338983051,1387.08108108108,354463.246575342,1,2683117.5,"0",0
0,1,2,206,14563.1067961165,87378.640776699,6,6,2,0,0,"0",1
0,66,84,117884774,1.27242895677096,774.51902312677,48.2424242424242,1049.04761904762,1420115.27710843,1,137986,"0",0
0,2,0,3,666666.666666667,4e+06,6,0,0,0,0,"0",0
0,42,39,115891062,0.698932243799785,138.673334445757,68.6904761904762,338.102564102564,2964500.5,1,48978.6363636364,"0",0
0,2,2,25865,154.64913976416,11598.685482312,47,103,3,0,0,"0",0
0,2,2,33586,119.097242898827,357.291728696481,0,6,2,1,0,"0",0
0,2,2,44704,89.4774516821761,4921.25984251968,31,79,2,0,0,"0",0
0,2,2,46134,86.7039493648936,5028.82906316383,50,66,4,0,0,"0",0
0,3,0,151,19867.5496688742,119205.298013245,6,0,0,0,0,"0",0
0,2,0,1,2e+06,3.1e+07,15.5,0,0,0,0,"0",0
0,2,2,20970,190.748688602766,8965.18836433,33,61,4,0,0,"0",0
0,2,2,21023,190.267801931218,11225.8003139419,45,73,3,0,0,"0",0
0,2,0,1,2e+06,1.2e+07,6,0,0,0,0,"0",1
0,2,2,35810,111.700642278693,6422.78693102485,30,85,3,0,0,"0",0
0,2,2,20907,191.323480174104,9757.49748887932,43,59,3,0,0,"0",0
0,3,2,33198,150.611482619435,0,0,0,3,0,0,"0",1
0,2,2,21087,189.690330535401,9484.51652677005,42,58,3,0,0,"0",0
0,3,0,2,1500000,9e+06,6,0,0,0,0,"0",1
0,2,2,20850,191.846522781775,14388.4892086331,47,103,1,0,0,"0",0
0,130,178,118891987,2.59058669782346,1387.32646465064,38.7846153846154,898.314606741573,671555.073446328,1,735011,"0",0
0,2,2,46137,86.6983115503826,12267.8110843791,41,242,2,0,0,"0",0
0,33,30,115511832,0.545398673964413,36.4118543284813,31.5757575757576,105.466666666667,3806710,1,52044.3636363636,"0",0
0,6,7,68050,191.036002939015,67215.2828802351,143.333333333333,530.571428571429,5754,1,0,"0",0
0,2,2,22807,175.384750295962,9821.54601657386,42,70,3,0,0,"0",0
0,2,2,21023,190.267801931218,11225.8003139419,45,73,3,0,0,"0",0
0,2,8,7205444,1.38783952800133,0,0,0,1021495,1,0,"0",0
0,26,22,117679896,0.407886152448673,64.7179361885228,70.5384615384615,262.818181818182,5602535.76190476,1,121964,"0",0
0,7,2,108070,83.2793559729805,13158.1382437309,203.142857142857,0,2,1,0,"0",0
0,2,0,1,2e+06,3.1e+07,15.5,0,0,0,0,"0",0
0,2,2,21837,183.175344598617,10257.8192975226,29,83,3,0,0,"0",0
0,7,6,19706218,0.659690256141488,3.14621506775171,0,10.3333333333333,3928840.8,0,61925,"0",0
0,32,28,116988726,0.512869932441182,73.3916873323332,59.5625,238.571428571428,4331921.2962963,1,336657,"0",0
0,5,2,5334071,1.31231848994886,3.37453325986849,3.6,0,3,1,0,"0",0
0,2,2,20875,191.616766467066,15329.3413173653,32,128,3,0,0,"0",0
1,4,0,3,1333333.33333333,8e+06,6,0,0,0,0,"0",0
0,1,2,197,15228.4263959391,91370.5583756345,6,6,3,0,0,"0",1
0,3,0,4,750000,4500000,6,0,0,0,0,"0",1
0,1,2,112,26785.7142857143,0,0,0,3,0,0,"0",1
0,2,0,1,2e+06,3.7e+07,18.5,0,0,0,0,"0",0
0,2,0,1,2e+06,0,0,0,0,0,0,"0",1
0,2,0,1,2e+06,3.1e+07,15.5,0,0,0,0,"0",0
0,2,2,20566,194.495769717009,10891.7631041525,42,70,2,0,0,"0",0
0,2,0,1,2e+06,3.7e+07,18.5,0,0,0,0,"0",0
0,2,2,55650,71.8778077268643,3809.52380952381,45,61,3,0,0,"0",0
0,4,0,1297,3084.0400925212,99460.2929838088,32.25,0,0,0,0,"0",0
0,2,0,1,2e+06,3.7e+07,18.5,0,0,0,0,"0",0
0,2,2,20864,191.717791411043,10927.9141104294,43,71,2,0,0,"0",0
0,4,0,791,5056.89001264222,163084.702907712,32.25,0,0,0,0,"0",0
0,39,0,113395138,0.343930089842123,0,0,0,0,0,4.5,"0",0
0,2,2,20778,192.511310039465,7700.45240157859,32,48,3,0,0,"0",0
0,3,0,3,1e+06,6e+06,6,0,0,0,0,"0",1
0,1,3,17065,234.397890418986,1406.38734251392,6,6,875.5,0,0,"0",0
0,1,4,159,31446.5408805031,150943.396226415,0,6,1.33333333333333,0,0,"0",1
0,104,145,110347107,2.25651588672823,222.298532937524,114.788461538462,86.8413793103448,766013.763888889,1,339459.5,"0",0
0,2,2,20625,193.939393939394,16387.8787878788,42,127,3,0,0,"0",0
0,2,0,1,2e+06,1.2e+07,6,0,0,0,0,"0",1
0,1,2,33194,90.3777791167078,542.266674700247,6,6,2,0,0,"0",0
0,2,2,24386,164.028540966128,12876.2404658411,45,112,3,0,0,"0",0
0,5,2,33082,211.595429538722,0,0,0,3,1,0,"0",0
0,2,2,20705,193.190050712388,12364.1632455929,38,90,1,0,0,"0",0
0,8,2,53091075,0.188355575772387,5.78251617621229,26.875,46,3,0,26629,"0",0
0,4,0,682,5865.10263929619,189149.560117302,32.25,0,0,0,0,"0",0
0,2,2,20830,192.030724915987,13634.181469035,43,99,3,0,0,"0",0
0,2,2,20985,190.612342149154,13819.3948058137,43,102,3,0,0,"0",0
0,1,1,91367,21.8897413727057,131.338448236234,6,6,0,0,0,"0",0
0,2,8,7198788,1.38912272454752,0,0,0,1020483.85714286,1,0,"0",0
0,1,2,193,15544.0414507772,93264.2487046632,6,6,2,0,0,"0",1
0,3,2,252,19841.2698412698,357142.857142857,26,6,3,0,0,"0",1
0,2,0,1,2e+06,3.1e+07,15.5,0,0,0,0,"0",0
0,27,24,60862286,0.837957351782679,161.709338357748,78.9629629629629,321.25,2642226.30434783,1,130426.833333333,"0",0
0,2,2,20787,192.427959782556,14432.0969836917,47,103,2,0,0,"0",0
0,2,0,2,1e+06,6e+06,6,0,0,0,0,"0",0
0,2,0,1,2e+06,1.2e+07,6,0,0,0,0,"0",0
0,40,37,115949332,0.664083170397221,146.244913252282,107.675,341.891891891892,3125528.02777778,1,30790.0909090909,"0",0
0,2,0,1,2e+06,3.1e+07,15.5,0,0,0,0,"0",0
0,1,2,146,20547.9452054795,123287.671232877,6,6,3,0,0,"0",1
0,2,2,23814,167.968421936676,8734.35794070715,36,68,2,0,0,"0",0
0,1,2,62,48387.0967741935,0,0,0,2,0,0,"0",1
0,2,2,21107,189.510588904155,12507.6988676742,38,94,1,0,0,"0",0
0,2,10,14339866,0.836827903412765,0,0,0,1588849.77777778,1,6340049,"0",0
0,2,2,20881,191.561706814808,11014.7981418514,32,83,3,0,0,"0",0
0,1,3,298,13422.8187919463,80536.9127516779,6,6,68.5,0,0,"0",1
0,2,2,54223,73.7694336351733,5163.86035446213,36,104,3,0,0,"0",0
0,88,151,407677,586.248427063582,527667.736958425,34.2954545454546,1404.6357615894,2541.25333333333,1,0,"0",0
0,1,2,214,14018.691588785,84112.1495327103,6,6,2,0,0,"0",1
0,2,2,20990,190.566936636494,6288.70890900429,25,41,3,0,0,"0",0
0,34,28,118269673,0.524225682098571,104.726762878595,91.7058823529412,331,4376837.96296296,1,543751.5,"0",0
0,27,24,60579696,0.841866225277855,154.111040768511,100.888888888889,275.5,2629916.86956522,1,123648.833333333,"0",0
0,2,2,21090,189.663347558084,11000.4741583689,50,66,3,0,0,"0",0
0,2,0,2,1e+06,6e+06,6,0,0,0,0,"0",0
0,32,45,1638376,46.9977587562318,6231.78073897567,86.25,165.555555555556,36012.4545454545,1,0,"0",0
0,25,24,60863054,0.805086120062263,161.805879803534,85.52,321.25,2642203.04347826,1,136214.666666667,"0",0
0,20,20,10164958,3.93508758226055,2047.22931467105,336.9,703.6,533481.684210526,1,212679,"0",0
0,2,0,2,1e+06,6e+06,6,0,0,0,0,"0",0
0,45,46,110566508,0.823034042098897,269.756190545513,490.8,168.260869565217,2455006.46666667,1,115739.818181818,"0",0
0,2,0,1,2e+06,3.7e+07,18.5,0,0,0,0,"0",0
0,1,3,56422,70.8943319981567,425.36599198894,6,6,768,0,0,"0",0
0,2,2,22382,178.715038870521,8757.03690465553,41,57,3,0,0,"0",0
0,1,2,165,18181.8181818182,109090.909090909,6,6,3,0,0,"0",1
0,2,2,20916,191.241155096577,17307.3245362402,47,134,3,0,0,"0",0
0,2,2,45488,87.9352796341892,4132.95814280689,33,61,2,0,0,"0",0
0,2,0,1,2e+06,3.1e+07,15.5,0,0,0,0,"0",0
0,2,0,2,1e+06,6e+06,6,0,0,0,0,"0",1
0,2,0,2,1e+06,6e+06,6,0,0,0,0,"0",0
0,3,0,225,13333.3333333333,80000,6,0,0,0,0,"0",1
0,2,2,63878,62.6193681705752,2567.39409499358,27,55,1,0,0,"0",0
0,6,0,9011959,0.665781990353041,0,0,0,0,1,3011562,"0",1
0,2,0,1,2e+06,0,0,0,0,0,0,"0",1
0,1,1,1,2e+06,5.9e+07,53,6,0,0,0,"0",1
0,2,8,7121294,1.40423917338619,0,0,0,1009469.85714286,1,0,"0",0
0,2,0,3,666666.666666667,0,0,0,0,0,0,"0",0
0,2,2,21265,188.10251587115,21819.8918410534,46,186,3,0,0,"0",0
0,2,2,22697,176.234744679914,6873.15504251663,31,47,3,0,0,"0",0
0,2,2,45096,88.6996629412808,4878.48146177045,31,79,3,0,0,"0",0
0,5,2,5504190,1.27175842403696,3.27023594752361,3.6,0,2,1,0,"0",0
0,8,2,53787499,0.185916805687507,6.04229618484399,29.125,46,2,0,62192,"0",0
